Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
605.6	11.114	35.707	179.94
606.6	11.106	35.707	179.83
607.6	11.102	35.706	179.69
608.6	11.092	35.708	179.53
609.6	11.064	35.709	179.35
610.6	11.024	35.703	179.15
611.6	10.988	35.696	178.92
612.6	10.952	35.686	178.65
613.6	10.914	35.677	178.34
614.5	10.867	35.67	177.99
615.5	10.807	35.661	177.61
616.5	10.767	35.651	177.21
617.5	10.755	35.644	176.81
618.5	10.753	35.642	176.41
619.5	10.753	35.642	176.03
620.5	10.754	35.642	175.67
621.5	10.754	35.642	175.33
622.5	10.756	35.643	175.03
623.5	10.757	35.646	174.78
624.4	10.758	35.65	174.58
625.4	10.759	35.653	174.44
626.4	10.758	35.655	174.34
627.4	10.755	35.657	174.28
628.4	10.744	35.658	174.25
629.4	10.728	35.658	174.24
630.4	10.715	35.656	174.25
631.4	10.711	35.654	174.27
632.4	10.71	35.654	174.28
633.4	10.711	35.655	174.29
634.3	10.713	35.656	174.28
635.3	10.715	35.657	174.26
636.3	10.716	35.658	174.21
637.3	10.717	35.659	174.16
638.3	10.718	35.66	174.1
639.3	10.721	35.661	174.04
640.3	10.729	35.662	173.96
641.3	10.741	35.664	173.89
642.3	10.752	35.668	173.81
643.3	10.756	35.673	173.73
644.2	10.752	35.675	173.66
645.2	10.747	35.675	173.59
646.2	10.743	35.674	173.53
647.2	10.739	35.675	173.49
648.2	10.721	35.676	173.46
649.2	10.705	35.674	173.43
650.2	10.7	35.67	173.4
651.2	10.698	35.669	173.37
652.2	10.697	35.669	173.34
653.1	10.7	35.67	173.32
654.1	10.707	35.67	173.3
655.1	10.723	35.672	173.31
656.1	10.741	35.68	173.32
657.1	10.735	35.688	173.35
658.1	10.738	35.691	173.37
659.1	10.759	35.694	173.4
660.1	10.782	35.704	173.44
661.1	10.784	35.71	173.5
662.1	10.776	35.71	173.58
663.0	10.772	35.709	173.67
664.0	10.771	35.708	173.75
665.0	10.77	35.709	173.83
666.0	10.77	35.709	173.9
667.0	10.768	35.71	173.97
668.0	10.765	35.712	174.03
669.0	10.763	35.712	174.1
670.0	10.761	35.713	174.17
671.0	10.759	35.714	174.23
671.9	10.759	35.715	174.26
672.9	10.76	35.716	174.28
673.9	10.759	35.718	174.28
674.9	10.758	35.719	174.28
675.9	10.755	35.72	174.27
676.9	10.751	35.721	174.25
677.9	10.75	35.722	174.21
678.9	10.749	35.724	174.14
679.9	10.742	35.725	174.05
680.9	10.732	35.724	173.94
681.8	10.721	35.723	173.82
682.8	10.708	35.723	173.7
683.8	10.699	35.721	173.58
684.8	10.695	35.72	173.47
685.8	10.688	35.719	173.36
686.8	10.686	35.719	173.26
687.8	10.687	35.719	173.17
688.8	10.689	35.72	173.11
689.8	10.694	35.72	173.08
690.7	10.707	35.721	173.07
691.7	10.722	35.726	173.08
692.7	10.729	35.731	173.12
693.7	10.731	35.735	173.17
694.7	10.732	35.737	173.22
695.7	10.732	35.738	173.27
696.7	10.732	35.738	173.32
697.7	10.73	35.739	173.35
698.7	10.727	35.739	173.37
699.6	10.715	35.739	173.37
700.6	10.697	35.737	173.34
701.6	10.679	35.732	173.28
702.6	10.669	35.729	173.19
703.6	10.666	35.728	173.09
704.6	10.664	35.728	172.97
705.6	10.661	35.728	172.85
706.6	10.657	35.729	172.73
707.6	10.651	35.729	172.61
708.6	10.639	35.73	172.51
709.5	10.633	35.728	172.43
710.5	10.636	35.727	172.37
711.5	10.644	35.73	172.35
712.5	10.648	35.735	172.35
713.5	10.648	35.738	172.38
714.5	10.647	35.74	172.42
715.5	10.645	35.742	172.47
716.5	10.642	35.742	172.53
717.5	10.638	35.743	172.61
718.4	10.634	35.743	172.69
719.4	10.629	35.744	172.77
720.4	10.621	35.745	172.83
721.4	10.614	35.745	172.87
722.4	10.608	35.744	172.87
723.4	10.594	35.744	172.85
724.4	10.567	35.742	172.81
725.4	10.542	35.738	172.76
726.4	10.529	35.734	172.7
727.3	10.522	35.733	172.61
728.3	10.507	35.733	172.5
729.3	10.491	35.731	172.37
730.3	10.48	35.728	172.24
731.3	10.48	35.729	172.11
732.3	10.49	35.73	172.0
733.3	10.508	35.732	171.91
734.3	10.534	35.74	171.84
735.3	10.552	35.748	171.8
736.3	10.556	35.754	171.78
737.2	10.557	35.755	171.78
738.2	10.558	35.755	171.81
739.2	10.562	35.756	171.87
740.2	10.569	35.756	171.96
741.2	10.576	35.758	172.07
742.2	10.581	35.761	172.21
743.2	10.584	35.763	172.36
744.2	10.585	35.765	172.53
745.2	10.585	35.766	172.7
746.1	10.584	35.767	172.87
747.1	10.58	35.769	173.03
748.1	10.579	35.769	173.18
749.1	10.58	35.771	173.33
750.1	10.582	35.774	173.47
751.1	10.585	35.777	173.6
752.1	10.586	35.78	173.71
753.1	10.586	35.782	173.81
754.1	10.587	35.783	173.87
755.0	10.589	35.785	173.91
756.0	10.59	35.787	173.93
757.0	10.592	35.788	173.94
758.0	10.594	35.79	173.95
759.0	10.594	35.793	173.95
760.0	10.593	35.794	173.95
761.0	10.589	35.796	173.93
762.0	10.584	35.797	173.91
763.0	10.577	35.797	173.88
763.9	10.573	35.798	173.85
764.9	10.572	35.799	173.86
765.9	10.572	35.8	173.88
766.9	10.572	35.801	173.92
767.9	10.572	35.803	173.95
768.9	10.571	35.805	173.99
769.9	10.57	35.806	174.02
770.9	10.568	35.806	174.07
771.9	10.567	35.806	174.12
772.8	10.566	35.807	174.19
773.8	10.565	35.807	174.26
774.8	10.565	35.807	174.33
775.8	10.564	35.807	174.38
776.8	10.564	35.808	174.42
777.8	10.562	35.809	174.46
778.8	10.56	35.809	174.5
779.8	10.558	35.809	174.55
780.8	10.555	35.81	174.6
781.7	10.55	35.811	174.65
782.7	10.544	35.811	174.7
783.7	10.542	35.811	174.73
784.7	10.541	35.812	174.75
785.7	10.538	35.814	174.76
786.7	10.534	35.816	174.75
787.7	10.534	35.817	174.74
788.7	10.535	35.818	174.71
789.7	10.536	35.82	174.67
790.6	10.538	35.822	174.61
791.6	10.539	35.824	174.54
792.6	10.539	35.826	174.45
793.6	10.538	35.828	174.37
794.6	10.536	35.829	174.28
795.6	10.536	35.83	174.19
796.6	10.535	35.832	174.12
797.6	10.532	35.833	174.07
798.6	10.523	35.834	174.02
799.5	10.507	35.833	173.99
800.5	10.494	35.83	173.97
801.5	10.487	35.828	173.97
802.5	10.492	35.831	173.98
803.5	10.495	35.835	174.0
804.5	10.491	35.838	174.03
805.5	10.487	35.839	174.07
806.5	10.486	35.839	174.1
807.5	10.483	35.84	174.13
808.4	10.482	35.841	174.15
809.4	10.481	35.841	174.17
810.4	10.479	35.843	174.19
811.4	10.468	35.845	174.2
812.4	10.459	35.845	174.19
813.4	10.458	35.844	174.16
814.4	10.457	35.845	174.12
815.4	10.453	35.847	174.08
816.4	10.448	35.848	174.05
817.3	10.444	35.848	174.03
818.3	10.442	35.848	174.0
819.3	10.44	35.848	173.98
820.3	10.438	35.848	173.95
821.3	10.437	35.848	173.92
822.3	10.435	35.848	173.89
823.3	10.434	35.848	173.89
824.3	10.431	35.849	173.89
825.3	10.43	35.849	173.9
826.2	10.429	35.849	173.91
