Depth [m]	Temperature [degC]	Salinity [PSU]	Oxygen [umol/kg]
476.9	11.401	35.641	188.97
477.9	11.395	35.642	188.85
478.9	11.386	35.641	188.71
479.9	11.388	35.642	188.57
480.9	11.394	35.646	188.44
481.9	11.393	35.649	188.33
482.9	11.396	35.65	188.23
483.9	11.402	35.652	188.14
484.9	11.41	35.656	188.02
485.8	11.414	35.657	187.9
486.8	11.415	35.658	187.79
487.8	11.417	35.659	187.7
488.8	11.418	35.66	187.66
489.8	11.421	35.662	187.64
490.8	11.426	35.665	187.63
491.8	11.437	35.669	187.61
492.8	11.447	35.677	187.58
493.8	11.445	35.683	187.55
494.8	11.43	35.685	187.52
495.7	11.401	35.685	187.49
496.7	11.369	35.683	187.46
497.7	11.345	35.68	187.43
498.7	11.334	35.678	187.37
499.7	11.333	35.68	187.28
500.7	11.334	35.682	187.17
501.7	11.332	35.683	187.05
502.7	11.325	35.685	186.93
503.7	11.314	35.685	186.81
504.7	11.305	35.683	186.69
505.7	11.296	35.682	186.58
506.6	11.289	35.681	186.47
507.6	11.278	35.68	186.36
508.6	11.268	35.68	186.25
509.6	11.265	35.681	186.15
510.6	11.268	35.683	186.05
511.6	11.27	35.685	185.96
512.6	11.273	35.686	185.86
513.6	11.276	35.688	185.77
514.6	11.278	35.69	185.67
515.6	11.28	35.693	185.56
516.5	11.282	35.697	185.45
517.5	11.284	35.7	185.35
518.5	11.288	35.703	185.25
519.5	11.299	35.706	185.16
520.5	11.322	35.711	185.07
521.5	11.364	35.721	185.01
522.5	11.424	35.735	184.96
523.5	11.488	35.754	184.95
524.5	11.555	35.785	184.98
525.5	11.622	35.817	185.06
526.4	11.689	35.841	185.19
527.4	11.769	35.863	185.36
528.4	11.852	35.889	185.57
529.4	11.941	35.921	185.83
530.4	12.019	35.954	186.13
531.4	12.074	35.988	186.47
532.4	12.107	36.012	186.86
533.4	12.138	36.026	187.28
534.4	12.171	36.041	187.71
535.4	12.206	36.055	188.15
536.3	12.247	36.068	188.57
537.3	12.285	36.083	188.97
538.3	12.303	36.096	189.36
539.3	12.305	36.102	189.73
540.3	12.303	36.104	190.08
541.3	12.302	36.103	190.4
542.3	12.301	36.104	190.67
543.3	12.3	36.104	190.9
544.3	12.299	36.103	191.09
545.3	12.294	36.103	191.25
546.2	12.287	36.103	191.39
547.2	12.281	36.102	191.5
548.2	12.27	36.1	191.58
549.2	12.257	36.097	191.62
550.2	12.245	36.096	191.64
551.2	12.218	36.096	191.64
552.2	12.186	36.09	191.61
553.2	12.162	36.082	191.57
554.2	12.132	36.078	191.5
555.2	12.093	36.071	191.41
556.1	12.067	36.062	191.3
557.1	12.056	36.057	191.18
558.1	12.061	36.055	191.06
559.1	12.082	36.058	190.94
560.1	12.105	36.067	190.84
561.1	12.115	36.075	190.74
562.1	12.118	36.077	190.65
563.1	12.134	36.078	190.59
564.1	12.173	36.085	190.55
565.1	12.204	36.098	190.56
566.0	12.219	36.107	190.59
567.0	12.243	36.115	190.63
568.0	12.258	36.128	190.69
569.0	12.244	36.134	190.75
570.0	12.229	36.13	190.82
571.0	12.215	36.128	190.9
572.0	12.186	36.126	190.97
573.0	12.154	36.119	191.04
574.0	12.13	36.111	191.08
575.0	12.128	36.106	191.1
575.9	12.149	36.11	191.08
576.9	12.154	36.122	191.04
577.9	12.131	36.125	190.99
578.9	12.106	36.121	190.94
579.9	12.096	36.114	190.89
580.9	12.109	36.11	190.83
581.9	12.136	36.115	190.77
582.9	12.162	36.126	190.72
583.9	12.184	36.134	190.68
584.9	12.202	36.142	190.65
585.8	12.216	36.147	190.64
586.8	12.229	36.153	190.65
587.8	12.234	36.157	190.68
588.8	12.246	36.158	190.73
589.8	12.268	36.164	190.79
590.8	12.288	36.173	190.87
591.8	12.3	36.18	190.94
592.8	12.311	36.184	191.01
593.8	12.326	36.189	191.08
594.8	12.345	36.197	191.16
595.7	12.36	36.206	191.25
596.7	12.366	36.213	191.36
597.7	12.367	36.215	191.47
598.7	12.37	36.216	191.58
599.7	12.377	36.217	191.68
600.7	12.386	36.221	191.78
601.7	12.394	36.225	191.88
602.7	12.394	36.228	191.99
603.7	12.387	36.23	192.08
604.7	12.38	36.23	192.17
605.6	12.375	36.228	192.24
606.6	12.373	36.227	192.28
607.6	12.364	36.228	192.31
608.6	12.345	36.227	192.33
609.6	12.334	36.222	192.35
610.6	12.341	36.22	192.37
611.6	12.377	36.226	192.39
612.6	12.421	36.239	192.41
613.6	12.444	36.252	192.42
614.5	12.451	36.256	192.45
615.5	12.454	36.259	192.47
616.5	12.465	36.261	192.49
617.5	12.473	36.267	192.49
618.5	12.439	36.272	192.49
619.5	12.338	36.255	192.45
620.5	12.291	36.234	192.38
621.5	12.285	36.227	192.26
622.5	12.255	36.229	192.1
